ConstituentID,DisplayName,ArtistBio,Nationality,Gender,BeginDate,EndDate,Wiki QID,ULAN
149,Cuno Amiet,"Swiss, 1868–1961",Swiss,male,1868,1961,Q566797,500005153.0
314,Theo H. Ballmer,"Swiss, 1902–1965",Swiss,male,1902,1965,Q2416828,500060722.0
348,Maurice Barraud,"Swiss, 1889–1955",Swiss,male,1889,1955,,
355,Ruodi Barth,"Swiss, 1921–1999",Swiss,male,1921,1999,,
391,Otto Baumberger,"Swiss, 1889–1961",Swiss,male,1889,1961,Q121025,
509,Thoni Bern,Swiss,Swiss,,0,0,,
559,Max Bill,"Swiss, 1908–1994",Swiss,male,1908,1994,Q123454,500005369.0
563,Manfred Bingler,"Swiss, born 1928",Swiss,male,1928,0,,
564,Peter Birkhauser,"Swiss, 1911–1976",Swiss,male,1911,1976,Q678067,500345161.0
566,Werner Bischof,"Swiss, 1916–1954",Swiss,male,1916,1954,Q120369,500070840.0
594,Werner Blaser,"Swiss, born 1924",Swiss,male,1924,0,Q1715499,500030955.0
633,Arthur Emil Bofinger,"Swiss, born 1909",Swiss,male,1909,0,,
643,Frédéric Boissonnas,"Swiss, 1858–1946",Swiss,male,1858,1946,,
687,Fritz Boscovits,"Swiss, 1871–1965",Swiss,male,1871,1965,,
691,Rodolphe-Théophile Bosshard,"Swiss, 1889–1960",Swiss,male,1889,1960,,
696,Mario Botta,"Swiss, born 1943",Swiss,male,1943,0,Q122363,500015342.0
778,Serge Brignoni,"Swiss, 1903–2002",Swiss,male,1903,2002,,
790,Jürgen Brodwolf,"Swiss, born 1932",Swiss,male,1932,0,,
825,Paul Brühwiler,"Swiss, born 1939",Swiss,male,1939,0,,
828,Donald Brun,"Swiss, 1909–1999",Swiss,male,1909,1999,Q1239735,
842,Gustave Buchet,"Swiss, 1888–1963",Swiss,male,1888,1963,,
856,Fritz Bühler,"Swiss, 1909–1963",Swiss,male,1909,1963,,
875,Burkhard,Swiss,Swiss,,0,0,,
885,René Burri,"Swiss, 1933–2014",Swiss,male,1933,2014,Q671527,500115621.0
914,Miriam Cahn,"Swiss, born 1949",Swiss,female,1949,0,,
968,Emil Cardinaux,"Swiss, 1877–1936",Swiss,male,1877,1936,Q3052207,500021057.0
1142,Roman Clemens,"Swiss, born Germany. 1910–1992",Swiss,male,1910,1992,,
1367,Oskar Dalvit,"Swiss, 1911–1975",Swiss,male,1911,1975,,
1541,Alex Walter Diggelmann,"Swiss, 1902–1987",Swiss,male,1902,1987,,
1553,Martin Disler,"Swiss, 1949–1996",Swiss,male,1949,1996,Q670011,500053927.0
1696,Hans Eichenberger,"Swiss, 1926 - 2024",Swiss,male,1926,2024,,
1697,Hermann Eidenbenz,"Swiss, born India. 1902–1993",Swiss,male,1902,1993,Q1424173,
1750,Hans Erni,"Swiss, 1909–2015",Swiss,male,1909,2015,Q667671,500007927.0
1808,Franz Fassler,Swiss,Swiss,male,0,0,,
1810,Nicolas Faure,"Swiss, born 1949",Swiss,male,1949,0,,
1824,Helmut Federle,"Swiss, born 1944",Swiss,male,1944,0,,
1890,Hans Fischli,"Swiss, 1909–1989",Swiss,male,1909,1989,Q1579482,500030853.0
1891,Peter Fischli,"Swiss, born 1952",Swiss,male,1952,0,Q18618551,500101939.0
2041,Fussli,Swiss,Swiss,,0,0,,
2045,Johannes Gachnang,"Swiss, 1939–2005",Swiss,male,1939,2005,,
2136,Karl Gerstner,"Swiss, born 1930",Swiss,male,1930,0,Q1707424,500047251.0
2137,Franz Gertsch,"Swiss, born 1930",Swiss,male,1930,0,Q116077,500006247.0
2141,Alberto Giacometti,"Swiss, 1901–1966",Swiss,male,1901,1966,Q157194,500118871.0
